Company Name,tradingsymbol,exchange_token
Fiem Industries Limited,FIEMIND,13710
Finolex Cables Limited,FINCABLES,1038
Fine Organic Industries Limited,FINEORG,3744
Five-Star Business Finance Limited,FIVESTAR,12032
Gujarat Fluorochemicals Limited,FLUOROCHEM,13750
Federal-Mogul Goetze (India) Limited,FMGOETZE,1190
Force Motors Limited,FORCEMOT,11573
Fortis Healthcare Limited,FORTIS,14592
Foseco India Limited,FOSECOIND,1073
Fractal Analytics Limited,FRACTAL,760961
Gabriel India Limited,GABRIEL,1085
Galaxy Surfactants Limited,GALAXYSURF,1315
Gallantt Ispat Limited,GALLANTT,13337
Gandhi Special Tubes Limited,GANDHITUBE,14116
Ganesha Ecosphere Limited,GANECOS,6944
Ganesh Housing Limited,GANESHHOU,14339
Garware Technical Fibres Limited,GARFIBRES,1100
The Great Eastern Shipping Company Limited,GESHIP,13776
GHCL Limited,GHCL,1127
Gillette India Limited,GILLETTE,1576
Gland Pharma Limited,GLAND,1186
GlaxoSmithKline Pharmaceuticals Limited,GLAXO,1153
Glenmark Pharmaceuticals Limited,GLENMARK,7406
Globus Spirits Limited,GLOBUSSPR,17424
Gloster Limited,GLOSTERLTD,23590
G.M. Breweries Limited,GMBREW,1168
Gujarat Mineral Development Corporation Limited,GMDCLTD,5204
G N A Axles Limited,GNA,18571
Gujarat Narmada Valley Fertilizers & Chemicals Limited,GNFC,1174
Godfrey Phillips India Limited,GODFRYPHLP,1181
Godrej Agrovet Limited,GODREJAGRO,144
Godrej Consumer Products Limited,GODREJCP,10099
Godrej Industries Limited,GODREJIND,10925
Godrej Properties Limited,GODREJPROP,17875
Gokaldas Exports Limited,GOKEX,11778
Goldiam International Limited,GOLDIAM,11971
Goodluck India Limited,GOODLUCK,6125
Goodyear India Limited,GOODYEAR,1205
Granules India Limited,GRANULES,11872
Graphite India Limited,GRAPHITE,592
Grasim Industries Limited,GRASIM,1232
Gravita India Limited,GRAVITA,20534
Grindwell Norton Limited,GRINDWELL,13560
G R Infraprojects Limited,GRINFRA,5054
GRP Limited,GRPLTD,6543
Garden Reach Shipbuilders & Engineers Limited,GRSE,5475
Garware Hi-Tech Films Limited,GRWRHITECH,7982
GSP Crop Science Limited,GSPCROP,762239
Gujarat Alkalies and Chemicals Limited,GUJALKALI,1267
Gujarat Apollo Industries Limited,GUJAPOLLO,14677
Gulf Oil Lubricants India Limited,GULFOILLUB,4391
GE Power India Limited,GVPIL,7866
Hindustan Aeronautics Limited,HAL,2303
Haleos Labs Limited,HALEOSLABS,21551
Happy Forgings Limited,HAPPYFORGE,20854
