tradingsymbol,exchange_token
KERNEX,13121
KFINTECH,13359
KICL,21119
KIMS,4847
KINGFA,18944
KIRIINDUS,16639
KIRLFER,14466
KIRLOSBROS,18581
KIRLOSENG,20936
KIRLOSIND,19025
KIRLPNU,15180
KKCL,13381
KMEW,27084
KOLTEPATIL,15124
KOVAI,5192
KPIGREEN,5108
KPIL,1814
KPITTECH,9683
KPRMILL,14912
KRISHANA,12847
KRISHNADEF,761192
KRN,25643
KRSNAA,5359
KRYSTAL,23175
KSB,1949
KSCL,14972
KSHINTL,760433
KSL,18889
LALPATHLAB,11654
LANDMARK,13276
LAURUSLABS,19234
LEMERITE,760300
LENSKART,759605
LGBBROSLTD,18321
LGEINDIA,760213
LICHSGFIN,1997
LICI,9480
LINCOLN,11596
LINDEINDIA,1627
LLOYDSME,17313
LMW,1979
LODHA,3220
LT,11483
LTFOODS,13816
LTM,17818
LTTS,18564
LUMAXIND,2018
LUMAXTECH,14014
LUPIN,10440
LUXIND,11301
M&M,2031
MACPOWER,22347
MAGADSUGAR,21392
MAHASTEEL,17531
MAHLOG,385
MAHSCOOTER,2085
MAHSEAMLES,2088
MAITHANALL,24538
MALLCOM,7965
MAMATA,28687
MANGLMCEM,2106
MANINDS,11884
MANKIND,15380
MANORAMA,10227
MANORG,6422
MANYAVAR,8167
MAPMYINDIA,7227
MARATHON,18659
MARICO,4067
MARUTI,10999
MASTEK,2124
MATRIMONY,21726
MAXHEALTH,22377
MAYURUNIQ,28906
MAZDOCK,509
MBAPL,12686
MCX,31181
MEDANTA,11956
MEDPLUS,7254
METROBRAND,7242
METROPOLIS,9581
MFSL,2142
MGL,17534
MIDWESTLTD,759517
MINDACORP,25897
MMFL,13844
MOLDTKPAC,6713
MONTECARLO,5938
MOTILALOFS,14947
MPHASIS,4503
MPSLTD,10578
MRF,2277
MSTCLTD,9356
MTARTECH,2709
MUTHOOTFIN,23650
NAM-INDIA,357
NATCOPHARM,3918
NATIONALUM,6364
NAUKRI,13751
NAVA,4014
NAVINFLUOR,14672
NBIFIN,19111
NDGL,18371
NDRAUTO,22255
NELCO,2388
NEOGEN,9917
NEPHROPLUS,760346
NESCO,15409
NESTLEIND,17963
NETWEB,17433
NEULANDLAB,2406
NEWGEN,1164
NGLFINE,10277
NH,11840
NIBE,29487
NILKAMAL,2421
NINSYS,14194
NITINSPIN,13175
NOVARTIND,9007
NPST,756324
NRAIL,20314
NSIL,11239
NUCLEUS,10791
NUVAMA,18721
OBEROIRLTY,20242
OFSS,10738
OIL,17438
OLECTRA,10637
ONESOURCE,29224
OPTIEMUS,21469
ORCHPHARMA,926
ORISSAMINE,19931
ORKLAINDIA,759569
OSWALPUMPS,756802
PAGEIND,14413
PARAS,5911
PATANJALI,17029
PAUSHAKLTD,759969
PAYTM,6705
PERSISTENT,18365
PFC,14299
PFIZER,2643
PGEL,25358
PGHH,2535
PGHL,940
PGIL,14260
PHOENIXLTD,14552
PICCADIL,757754
PIDILITIND,2664
PIIND,24184
PILANIINVS,11445
PIRAMALFIN,759551
PITTIENG,14134
PIXTRANS,9087
PKTEA,10321
PNBHOUSING,18908
PNGJL,25312
POCL,14385
POKARNA,17651
POLICYBZR,6656
POLYCAB,9590
POLYMED,25718
POLYPLEX,2687
POONAWALLA,11403
POWERICA,761680
POWERINDIA,18457
POWERMECH,10473
PRECOT,5884
PREMEXPLN,17397
PREMIERENE,25049
PRESTIGE,20302
PRICOLLTD,19631
PRIVISCL,8825
PROTEAN,29472
PRUDENT,9553
PSPPROJECT,20877
PTCIL,16682
PUNJABCHEM,4344
PVRINOX,13147
QPOWER,29711
RACLGEAR,27171
RADICO,10990
RAINBOW,9408
RAJRATAN,18962
RAMCOCEM,2043
RAMCOSYS,7851
RAMKY,20134
RANEHOLDIN,2844
RATEGAIN,7177
RATNAMANI,13451
RAYMOND,2859
RAYMONDLSL,25073
RAYMONDREL,758551
RELIANCE,2885
REPCOHOME,29598
RHIM,31163
RIIL,2912
RISHABH,18417
RKFORGE,11411
RMC,762347
RML,11975
ROSSARI,19410
ROSSTECH,27353
ROUTE,128
RPEL,24735
RPGLIFE,16725
RPSGVENT,8119
RPTECH,22670
RRKABEL,18566
RUBICON,759316
RUSTOMJEE,12219
RVTH,25157
SAATVIKGL,759057
SAFARI,13035
SAILIFE,27839
SAIPARENT,761675
